analysis,run_id,seed,epochs,post_budget,model_id,model_name,balanced_accuracy,f1,minority_recall,roc_auc,average_precision
epoch_sensitivity,p200_e10_seed209066,209066,10,200,set_attention_text_shuffled_emotion_p200,Set Attention Text + Shuffled Emotion p=200,0.6940975372043999,0.5148991244904495,0.6627195918721563,0.7597155466426726,0.526625223694966
epoch_sensitivity,p200_e10_seed209066,209066,10,200,set_attention_text_real_emotion_p200,Set Attention Text + Real Emotion p=200,0.6883245320660281,0.49661660558612275,0.6859356166893267,0.7533671176233763,0.528458177905971
epoch_sensitivity,p200_e10_seed209066,209066,10,200,set_attention_text_p200,Set Attention Text p=200,0.6849074557616215,0.494269113193484,0.7030626118363686,0.7550498259690609,0.5200309107121874
epoch_sensitivity,p200_e20_seed209066,209066,20,200,set_attention_text_p200,Set Attention Text p=200,0.6888225132016783,0.5094030926599304,0.664421054371588,0.7530195081239983,0.5268789971980907
epoch_sensitivity,p200_e20_seed209066,209066,20,200,set_attention_text_shuffled_emotion_p200,Set Attention Text + Shuffled Emotion p=200,0.6817260908201302,0.486437719619213,0.6889945781315217,0.7501572076219958,0.5228955870436667
epoch_sensitivity,p200_e20_seed209066,209066,20,200,set_attention_text_real_emotion_p200,Set Attention Text + Real Emotion p=200,0.6726316465132541,0.4820314600069519,0.6695545417102303,0.7439486998734675,0.5070884655477819
multi_seed,p200_e5_seed209067,209067,5,200,set_attention_text_shuffled_emotion_p200,Set Attention Text + Shuffled Emotion p=200,0.6817779751852988,0.49531117451224205,0.6660768180684868,0.747330144162509,0.509453708753729
multi_seed,p200_e5_seed209067,209067,5,200,set_attention_text_real_emotion_p200,Set Attention Text + Real Emotion p=200,0.6816416494676558,0.49647623174624167,0.6245685647338862,0.7487950140200557,0.5075094329061807
multi_seed,p200_e5_seed209067,209067,5,200,set_attention_text_p200,Set Attention Text p=200,0.6722662341922074,0.47944687473183883,0.6969820193980569,0.7398432223782552,0.5031166901581947
multi_seed,p200_e5_seed209068,209068,5,200,set_attention_text_p200,Set Attention Text p=200,0.6783193367222901,0.48615004946569235,0.6548058472427126,0.7477328951729321,0.5053536436992184
multi_seed,p200_e5_seed209068,209068,5,200,set_attention_text_shuffled_emotion_p200,Set Attention Text + Shuffled Emotion p=200,0.6767517081934944,0.4865845133904074,0.6542689293600514,0.7376446474676858,0.4988160494383342
multi_seed,p200_e5_seed209068,209068,5,200,set_attention_text_real_emotion_p200,Set Attention Text + Real Emotion p=200,0.6670830246459399,0.4823790742422195,0.729394867959044,0.7457654870869559,0.5132961157725602
